row,col
238,36
238,37
238,45
238,52
238,82
238,84
238,86
238,116
239,21
239,37
239,40
239,49
239,51
239,62
239,79
239,84
239,88
239,102
239,116
240,22
240,36
240,50
240,51
240,84
240,118
241,42
241,44
241,88
242,37
242,83
242,94
243,0
243,15
243,27
243,32
243,34
243,42
243,43
243,57
243,96
244,0
244,40
244,43
244,55
244,86
244,88
245,42
245,64
246,75
246,94
247,34
247,50
247,60
247,78
248,50
248,72
248,78
249,38
249,41
249,54
249,55
249,68
250,54
250,56
250,58
250,72
251,58
251,70
251,122
253,72
254,90
255,12
255,62
255,82
257,66
258,67
258,92
260,73
263,82
264,48
269,64
